ip,click_time
313388,2017-11-09 00:25:49
76453,2017-11-09 06:45:47
175837,2017-11-09 08:55:33
58614,2017-11-09 14:23:15
49439,2017-11-09 10:10:34
51544,2017-11-09 02:54:58
334359,2017-11-08 17:26:55
59142,2017-11-08 13:04:27
246196,2017-11-08 12:37:45
158559,2017-11-07 01:20:58
68362,2017-11-09 12:28:10
14130,2017-11-09 14:04:12
24966,2017-11-09 01:52:22
45745,2017-11-09 13:43:03
67658,2017-11-07 12:52:34
90306,2017-11-08 14:39:49
23620,2017-11-07 05:14:57
175837,2017-11-08 12:55:08
122292,2017-11-07 10:59:54
57335,2017-11-07 05:53:23
159688,2017-11-07 10:35:22
93226,2017-11-07 00:48:23
97814,2017-11-08 08:31:18
76529,2017-11-08 11:28:04
51778,2017-11-09 12:48:31
88743,2017-11-07 03:25:51
43899,2017-11-09 11:53:03
5348,2017-11-07 02:19:31
50164,2017-11-07 15:09:35
357463,2017-11-09 08:32:26
131283,2017-11-07 11:58:26
291594,2017-11-09 10:19:01
87865,2017-11-09 02:14:44
116067,2017-11-09 00:36:34
115581,2017-11-07 16:42:52
5314,2017-11-09 09:35:33
81009,2017-11-08 02:58:20
105170,2017-11-07 02:08:47
224120,2017-11-08 02:22:13
7815,2017-11-08 14:38:25
30724,2017-11-07 00:54:11
290743,2017-11-09 14:20:36
22088,2017-11-08 03:41:46
73487,2017-11-08 12:16:09
38755,2017-11-07 00:51:46
173141,2017-11-09 09:20:52
125271,2017-11-07 11:11:25
84774,2017-11-09 11:42:14
195958,2017-11-09 05:20:40
87998,2017-11-08 10:39:02
24977,2017-11-07 12:07:24
7785,2017-11-08 15:17:31
27849,2017-11-07 09:08:49
105475,2017-11-09 14:05:21
68568,2017-11-09 07:59:47
340406,2017-11-09 09:47:04
28310,2017-11-09 05:41:36
32001,2017-11-07 11:19:43
53454,2017-11-09 14:54:56
164682,2017-11-07 07:08:43
7246,2017-11-09 03:40:32
92844,2017-11-07 13:46:25
521,2017-11-08 09:04:43
10760,2017-11-09 00:50:28
103340,2017-11-08 17:08:54
106541,2017-11-08 00:50:35
44607,2017-11-08 05:50:32
52923,2017-11-09 07:08:46
45841,2017-11-09 02:20:33
7372,2017-11-09 08:56:57
83668,2017-11-09 06:00:55
18350,2017-11-07 02:07:57
109764,2017-11-07 13:05:17
105475,2017-11-07 14:36:19
30443,2017-11-09 06:31:30
141474,2017-11-09 13:56:52
134346,2017-11-07 13:59:40
110595,2017-11-07 14:17:37
81001,2017-11-09 09:28:50
175369,2017-11-07 14:11:13
114439,2017-11-08 13:24:56
53960,2017-11-09 15:41:32
5788,2017-11-09 03:05:35
79921,2017-11-08 23:43:06
59401,2017-11-08 16:18:06
55776,2017-11-08 13:13:16
92766,2017-11-07 06:57:18
206284,2017-11-06 17:43:05
174783,2017-11-07 03:42:22
25321,2017-11-09 08:16:56
73516,2017-11-09 00:58:09
111414,2017-11-06 21:49:57
176758,2017-11-07 01:35:46
144507,2017-11-08 02:46:34
106279,2017-11-07 23:58:43
73582,2017-11-07 15:26:59
99945,2017-11-07 02:46:48
93424,2017-11-09 09:05:42
157650,2017-11-07 03:51:06
120594,2017-11-09 10:42:44
7346,2017-11-07 14:33:56
86767,2017-11-08 07:12:06
26934,2017-11-07 00:15:55
27095,2017-11-08 01:30:38
166206,2017-11-09 01:06:43
78564,2017-11-08 00:29:34
158511,2017-11-07 10:12:00
81013,2017-11-08 03:44:45
211682,2017-11-07 09:21:22
100182,2017-11-08 17:28:19
95640,2017-11-07 09:57:10
87879,2017-11-06 16:14:50
74606,2017-11-07 04:45:12
79012,2017-11-08 18:32:19
84942,2017-11-08 03:27:42
66272,2017-11-07 23:28:18
38413,2017-11-08 08:37:58
89475,2017-11-09 09:00:33
33661,2017-11-07 16:23:18
100929,2017-11-08 02:43:14
9795,2017-11-08 04:07:36
182972,2017-11-07 03:04:16
162383,2017-11-08 04:47:00
280918,2017-11-08 11:44:19
114878,2017-11-09 12:39:16
112926,2017-11-07 01:36:11
2144,2017-11-07 23:43:11
186269,2017-11-06 18:57:21
111025,2017-11-09 12:59:23
38941,2017-11-08 16:03:29
92160,2017-11-07 05:04:28
175051,2017-11-07 02:23:50
217464,2017-11-08 03:08:40
81468,2017-11-07 03:20:59
60428,2017-11-08 15:08:27
49431,2017-11-08 15:32:13
18682,2017-11-09 05:02:17
90782,2017-11-07 00:49:14
44527,2017-11-09 10:17:42
88756,2017-11-09 09:14:21
25126,2017-11-07 10:06:58
68525,2017-11-07 07:30:51
111182,2017-11-08 16:03:50
70098,2017-11-07 14:32:17
75007,2017-11-07 14:01:35
33021,2017-11-09 00:28:26
8499,2017-11-09 01:55:06
120111,2017-11-09 14:22:37
37135,2017-11-08 02:06:06
106035,2017-11-09 14:29:21
99897,2017-11-08 11:38:24
52413,2017-11-08 11:55:30
9923,2017-11-08 13:36:43
10785,2017-11-09 03:19:07
4680,2017-11-07 10:00:40
67884,2017-11-07 03:39:14
304381,2017-11-08 17:26:29
6113,2017-11-06 18:42:18
114461,2017-11-08 11:24:33
166443,2017-11-09 11:16:03
116351,2017-11-09 02:06:22
333899,2017-11-08 16:00:46
119868,2017-11-09 10:32:44
229907,2017-11-08 04:05:01
53964,2017-11-09 10:14:18
73487,2017-11-08 14:29:34
105782,2017-11-09 14:42:36
117867,2017-11-09 14:26:42
93313,2017-11-07 02:45:07
14463,2017-11-08 12:12:10
141540,2017-11-09 01:07:31
168224,2017-11-08 13:20:57
24941,2017-11-07 02:17:14
6262,2017-11-07 08:08:10
44443,2017-11-08 04:47:07
102301,2017-11-09 07:17:46
8356,2017-11-07 12:58:45
39175,2017-11-07 14:08:15
47306,2017-11-08 23:56:29
79881,2017-11-08 16:56:35
28420,2017-11-09 13:36:20
100339,2017-11-07 19:14:20
69043,2017-11-09 09:22:35
205574,2017-11-08 04:22:11
50302,2017-11-07 10:10:39
262808,2017-11-08 13:42:07
43537,2017-11-07 01:55:44
92922,2017-11-09 07:06:31
164215,2017-11-07 06:50:57
36979,2017-11-07 11:23:19
339433,2017-11-09 02:21:17
81514,2017-11-07 23:14:16
204845,2017-11-09 07:13:01
201540,2017-11-06 17:16:12
92274,2017-11-09 10:00:25
14639,2017-11-06 16:07:41
114531,2017-11-07 00:48:53
57994,2017-11-07 23:21:22
290631,2017-11-09 05:55:10
58524,2017-11-09 04:58:05
84661,2017-11-08 08:04:24
163553,2017-11-07 04:50:16
100309,2017-11-08 02:54:37
1067,2017-11-07 11:59:44
259034,2017-11-07 23:01:24
30424,2017-11-08 10:03:34
121287,2017-11-07 23:37:32
91048,2017-11-08 20:31:59
167783,2017-11-08 06:11:36
111195,2017-11-07 09:19:57
117722,2017-11-08 12:21:03
87167,2017-11-09 04:28:16
44067,2017-11-08 23:54:44
163416,2017-11-07 01:03:27
67981,2017-11-08 12:06:09
5621,2017-11-07 23:10:22
88228,2017-11-09 13:43:25
22352,2017-11-07 06:50:27
85904,2017-11-07 04:38:18
95750,2017-11-08 11:26:05
58194,2017-11-08 08:19:08
60752,2017-11-09 15:31:52
30587,2017-11-07 06:45:54
166181,2017-11-07 09:13:02
43827,2017-11-07 10:57:54
23322,2017-11-07 10:47:55
85631,2017-11-07 04:00:28
9281,2017-11-09 06:09:41
81837,2017-11-09 13:58:14
98365,2017-11-09 12:08:54
125990,2017-11-08 13:18:29
101650,2017-11-09 04:06:45
93920,2017-11-09 15:42:13
207899,2017-11-09 00:43:13
63701,2017-11-07 08:11:45
272894,2017-11-08 06:10:05
95766,2017-11-07 02:33:52
62016,2017-11-09 05:26:28
107025,2017-11-08 10:08:01
33924,2017-11-09 08:33:04
231434,2017-11-08 05:11:39
118079,2017-11-08 11:37:21
141207,2017-11-09 01:24:00
44458,2017-11-07 12:21:30
54524,2017-11-08 22:55:23
114636,2017-11-09 02:07:04
359429,2017-11-09 09:10:04
119289,2017-11-08 12:46:46
18942,2017-11-08 13:35:05
7340,2017-11-08 16:41:15
122282,2017-11-08 02:27:51
7435,2017-11-08 11:24:09
12167,2017-11-07 01:21:47
6831,2017-11-07 07:26:20
83366,2017-11-08 12:02:55
8401,2017-11-06 22:05:54
29467,2017-11-09 13:01:42
115814,2017-11-08 00:27:11
181741,2017-11-07 13:56:08
17572,2017-11-07 02:34:27
86767,2017-11-09 15:24:46
22256,2017-11-07 03:34:00
194163,2017-11-09 01:45:32
2511,2017-11-08 10:28:50
47648,2017-11-08 03:36:30
95866,2017-11-07 07:06:52
114612,2017-11-08 02:59:23
122688,2017-11-08 11:56:44
93054,2017-11-06 22:17:09
185372,2017-11-07 02:53:53
73516,2017-11-08 14:12:37
82813,2017-11-07 04:00:11
2539,2017-11-09 02:22:27
116351,2017-11-08 05:30:00
35335,2017-11-07 11:30:57
73983,2017-11-07 11:40:09
43233,2017-11-09 02:33:11
236144,2017-11-08 05:02:35
75595,2017-11-09 00:27:25
253793,2017-11-09 07:49:36
102255,2017-11-07 09:01:04
64639,2017-11-09 10:16:45
19216,2017-11-06 22:49:59
23271,2017-11-08 06:55:59
118125,2017-11-09 10:39:52
89567,2017-11-08 11:50:00
6996,2017-11-07 22:38:34
29533,2017-11-07 15:35:40
70522,2017-11-07 06:14:17
7795,2017-11-07 06:51:25
126985,2017-11-06 17:23:48
49407,2017-11-08 11:41:53
90500,2017-11-09 03:47:04
13034,2017-11-09 13:44:13
42062,2017-11-08 05:33:58
43809,2017-11-09 01:57:47
43537,2017-11-07 06:46:26
27818,2017-11-07 09:01:52
25563,2017-11-07 18:05:18
101894,2017-11-07 07:51:55
51871,2017-11-08 05:47:21
110628,2017-11-09 13:36:15
21925,2017-11-08 17:05:32
209627,2017-11-08 12:33:50
86285,2017-11-07 02:08:34
91250,2017-11-07 03:23:46
64960,2017-11-08 00:30:02
86388,2017-11-07 22:56:16
26682,2017-11-07 13:31:30
139216,2017-11-08 10:00:35
106223,2017-11-07 17:29:22
361422,2017-11-09 02:46:08
42240,2017-11-08 12:01:02
75374,2017-11-09 04:22:30
88162,2017-11-09 13:41:39
46132,2017-11-08 03:18:02
196018,2017-11-09 09:26:23
43827,2017-11-07 02:00:11
9147,2017-11-09 06:51:50
106000,2017-11-09 13:07:40
69605,2017-11-09 07:35:16
53454,2017-11-07 14:28:24
235120,2017-11-08 15:24:35
46413,2017-11-07 12:43:03
10785,2017-11-08 04:14:59
5729,2017-11-07 22:42:30
4442,2017-11-08 12:23:09
22385,2017-11-09 06:12:10
60381,2017-11-09 02:14:22
98944,2017-11-08 17:07:05
118339,2017-11-06 17:08:39
125175,2017-11-09 01:26:49
23986,2017-11-09 03:09:20
52961,2017-11-07 13:03:59
45745,2017-11-07 17:25:40
108947,2017-11-09 00:53:10
95766,2017-11-09 14:24:12
66596,2017-11-08 00:47:44
116935,2017-11-07 23:30:24
25679,2017-11-09 01:31:11
118284,2017-11-08 17:38:46
325602,2017-11-09 13:09:09
14895,2017-11-09 04:00:09
71017,2017-11-08 08:04:01
211747,2017-11-08 11:26:27
37161,2017-11-08 18:02:11
162367,2017-11-08 23:39:29
2600,2017-11-08 12:17:47
117989,2017-11-09 12:21:47
52672,2017-11-08 13:02:03
51686,2017-11-07 08:39:46
85150,2017-11-08 21:01:11
112291,2017-11-09 03:59:47
81973,2017-11-09 15:29:18
66184,2017-11-09 03:40:02
201182,2017-11-08 16:13:00
96021,2017-11-08 12:09:07
40372,2017-11-07 08:55:14
213099,2017-11-08 14:26:00
93587,2017-11-09 14:34:28
47145,2017-11-07 07:27:17
260488,2017-11-08 06:15:13
166986,2017-11-07 04:14:58
8005,2017-11-09 07:22:29
28110,2017-11-09 14:31:31
49754,2017-11-07 10:24:09
110325,2017-11-09 07:14:12
72467,2017-11-08 08:06:22
40045,2017-11-07 16:22:23
92834,2017-11-08 07:51:12
119008,2017-11-08 14:08:23
178522,2017-11-07 05:43:01
47140,2017-11-08 02:59:08
342636,2017-11-09 02:46:27
131492,2017-11-06 23:48:17
76181,2017-11-09 12:53:16
20449,2017-11-07 12:32:07
59903,2017-11-08 07:23:34
144208,2017-11-07 16:07:52
13212,2017-11-09 03:27:33
97883,2017-11-09 06:35:21
552,2017-11-09 05:31:36
63787,2017-11-07 05:18:18
59910,2017-11-07 14:18:01
35705,2017-11-07 06:06:20
67467,2017-11-09 01:59:06
33762,2017-11-09 00:32:55
78787,2017-11-08 13:28:22
16478,2017-11-08 07:02:22
63516,2017-11-08 13:14:18
81522,2017-11-07 06:16:51
21126,2017-11-09 09:10:01
12543,2017-11-08 17:55:55
203499,2017-11-07 17:39:34
66918,2017-11-09 15:45:32
95585,2017-11-08 22:25:54
47293,2017-11-08 03:19:51
219,2017-11-07 15:38:07
116253,2017-11-09 10:00:42
167368,2017-11-08 15:29:46
27083,2017-11-08 20:32:32
106143,2017-11-07 12:37:56
213289,2017-11-09 00:22:27
15251,2017-11-09 00:53:32
56516,2017-11-08 11:30:41
40838,2017-11-07 04:48:06
124763,2017-11-07 02:39:32
85107,2017-11-09 06:14:21
125355,2017-11-07 10:34:14
147865,2017-11-09 02:21:30
58415,2017-11-09 00:59:51
8482,2017-11-08 17:28:12
83252,2017-11-07 10:57:19
111299,2017-11-07 06:03:44
85536,2017-11-08 15:40:33
15360,2017-11-09 06:57:32
49783,2017-11-08 09:28:09
48282,2017-11-09 10:23:51
14764,2017-11-07 22:08:07
80331,2017-11-07 13:11:18
97684,2017-11-07 15:38:29
227493,2017-11-08 01:20:40
3649,2017-11-07 03:56:17
125837,2017-11-07 15:54:53
92964,2017-11-08 06:13:42
16535,2017-11-08 11:27:23
28627,2017-11-09 05:52:41
110596,2017-11-07 11:21:18
1195,2017-11-08 02:52:06
4570,2017-11-09 03:42:37
146717,2017-11-07 13:10:50
20593,2017-11-09 02:25:15
259170,2017-11-08 03:05:44
25097,2017-11-06 17:16:56
108858,2017-11-07 12:13:37
188580,2017-11-09 01:02:35
105748,2017-11-08 02:48:32
67197,2017-11-08 10:39:48
183032,2017-11-07 00:16:03
94877,2017-11-08 12:05:53
196951,2017-11-08 08:33:24
29943,2017-11-09 10:18:34
264419,2017-11-08 08:04:13
211520,2017-11-07 12:33:05
17899,2017-11-09 07:40:38
100510,2017-11-07 12:38:49
12828,2017-11-07 13:19:05
120005,2017-11-09 05:26:03
29290,2017-11-07 02:28:04
95766,2017-11-08 07:59:52
88143,2017-11-07 00:56:44
159329,2017-11-08 06:59:47
74306,2017-11-07 23:18:52
105587,2017-11-09 00:40:23
93620,2017-11-07 12:36:15
140653,2017-11-07 02:38:42
44490,2017-11-08 10:14:09
60131,2017-11-08 00:51:18
119347,2017-11-08 12:32:52
111025,2017-11-08 16:10:54
23544,2017-11-08 02:33:15
119901,2017-11-07 00:33:39
100393,2017-11-09 14:16:13
166224,2017-11-06 23:30:03
203958,2017-11-09 10:48:30
50983,2017-11-07 08:44:37
14271,2017-11-08 04:21:38
67188,2017-11-07 03:11:03
210014,2017-11-07 12:41:15
152055,2017-11-08 11:16:31
7565,2017-11-08 05:31:03
125205,2017-11-08 19:05:19
123623,2017-11-09 02:15:14
177104,2017-11-09 00:32:12
116677,2017-11-07 03:17:13
5348,2017-11-09 12:45:38
118094,2017-11-09 02:31:14
25737,2017-11-07 13:35:58
1462,2017-11-08 00:32:50
84107,2017-11-07 07:28:51
49407,2017-11-08 23:36:16
95820,2017-11-09 10:18:25
101690,2017-11-07 06:28:49
135920,2017-11-07 10:03:18
125730,2017-11-07 06:34:03
70683,2017-11-07 16:11:30
28221,2017-11-07 10:34:35
116597,2017-11-09 12:33:15
74515,2017-11-09 02:48:35
133128,2017-11-08 14:52:42
8625,2017-11-07 13:34:20
32799,2017-11-09 11:10:33
42821,2017-11-07 05:23:56
33181,2017-11-07 10:39:28
65676,2017-11-09 10:30:57
333962,2017-11-09 02:04:14
34067,2017-11-09 03:33:01
157414,2017-11-07 06:35:34
95820,2017-11-06 22:38:54
37506,2017-11-08 08:21:29
97444,2017-11-08 14:07:48
121256,2017-11-09 01:37:48
204209,2017-11-06 22:31:39
974,2017-11-09 05:51:54
78809,2017-11-08 11:57:32
7246,2017-11-07 18:57:51
73516,2017-11-08 10:30:07
111121,2017-11-07 02:52:08
95766,2017-11-06 23:13:37
338130,2017-11-09 05:28:30
70097,2017-11-09 05:21:16
55977,2017-11-07 09:27:41
89778,2017-11-07 16:24:40
111438,2017-11-07 13:09:18
125288,2017-11-08 23:34:57
41113,2017-11-07 02:22:42
102880,2017-11-07 05:57:02
37703,2017-11-08 00:36:28
32577,2017-11-08 05:01:16
16916,2017-11-07 00:47:37
106063,2017-11-07 07:46:57
131278,2017-11-08 00:45:52
61780,2017-11-07 05:52:34
27027,2017-11-08 13:45:12
37437,2017-11-09 03:39:52
14290,2017-11-07 06:20:14
100309,2017-11-09 13:32:11
46416,2017-11-07 13:57:31
48240,2017-11-09 01:20:36
27234,2017-11-07 12:54:24
5314,2017-11-09 15:32:21
102515,2017-11-07 09:54:10
34492,2017-11-09 12:13:37
75171,2017-11-07 22:28:20
48104,2017-11-08 00:56:44
73994,2017-11-07 19:58:40
256144,2017-11-08 00:25:33
75786,2017-11-08 16:55:55
39834,2017-11-08 13:49:10
3591,2017-11-08 05:47:44
48384,2017-11-07 13:41:32
86105,2017-11-08 07:25:09
23203,2017-11-07 12:58:28
40342,2017-11-08 07:22:16
40924,2017-11-08 10:32:20
87783,2017-11-07 00:45:31
105216,2017-11-07 16:41:50
121209,2017-11-09 07:07:18
59899,2017-11-08 23:19:39
203031,2017-11-07 10:19:17
198652,2017-11-07 01:27:22
102917,2017-11-08 11:10:14
45587,2017-11-07 14:42:20
168236,2017-11-08 06:28:10
31221,2017-11-08 17:58:37
62140,2017-11-07 02:43:24
54014,2017-11-07 01:29:17
36750,2017-11-08 03:55:51
207370,2017-11-07 08:59:30
148601,2017-11-09 02:14:17
118098,2017-11-07 00:18:52
48212,2017-11-09 06:10:58
120709,2017-11-09 12:42:35
25057,2017-11-08 01:28:58
154226,2017-11-08 09:53:13
25544,2017-11-08 14:43:46
16287,2017-11-08 03:41:30
130973,2017-11-07 04:33:56
68707,2017-11-08 04:52:16
91758,2017-11-08 11:24:09
5314,2017-11-08 11:52:26
20165,2017-11-09 00:46:26
114939,2017-11-08 01:40:37
73065,2017-11-06 18:18:53
65113,2017-11-09 11:35:29
45841,2017-11-08 02:18:59
115585,2017-11-07 02:06:37
50312,2017-11-08 07:20:59
106537,2017-11-09 07:19:12
15680,2017-11-09 14:53:42
89637,2017-11-09 09:18:45
133435,2017-11-07 20:11:42
41232,2017-11-08 06:43:52
101214,2017-11-07 15:20:01
192149,2017-11-07 10:47:18
277831,2017-11-08 06:51:51
67439,2017-11-09 06:01:20
100393,2017-11-07 14:18:45
81643,2017-11-06 16:46:47
106292,2017-11-07 12:40:24
167013,2017-11-07 14:33:47
116355,2017-11-07 01:41:42
25057,2017-11-09 02:32:57
18434,2017-11-08 12:42:00
166160,2017-11-09 13:01:46
3461,2017-11-06 20:50:15
27232,2017-11-08 09:25:47
135457,2017-11-08 07:13:23
106200,2017-11-09 07:02:16
31959,2017-11-09 03:27:03
175854,2017-11-06 16:57:10
119369,2017-11-09 13:02:37
58415,2017-11-07 05:13:42
93054,2017-11-08 03:15:33
125549,2017-11-08 00:16:22
46943,2017-11-09 00:52:52
42237,2017-11-08 14:34:51
80058,2017-11-07 04:21:59
45843,2017-11-07 16:41:30
79834,2017-11-09 15:16:08
102315,2017-11-07 06:54:43
31444,2017-11-07 13:30:07
43112,2017-11-09 06:35:49
121472,2017-11-07 13:20:56
63787,2017-11-07 14:11:29
170923,2017-11-08 00:47:48
123701,2017-11-09 12:19:29
112525,2017-11-08 09:28:56
6414,2017-11-09 15:33:38
8992,2017-11-06 17:59:45
353020,2017-11-09 11:26:04
181611,2017-11-07 01:05:08
111087,2017-11-08 13:55:18
79425,2017-11-08 00:22:05
259567,2017-11-08 08:38:33
49582,2017-11-08 07:11:39
52288,2017-11-08 10:16:07
228902,2017-11-08 04:05:50
